Reduced Cell Formula,Working Ion,nZn_max,nAl_max,nMg_max,nK_max,nLi_max,n_alkaline_earth_metals,n_lanthanoids,n_metalloids,n_post_transition_metals,n_reactive_nonmetals,n_transition_metals,n_alkali_metals,n_actinoids,nBe,nSr,nBa,nCa,nPr,nHo,nCe,nTb,nGd,nLa,nLu,nNd,nSi,nGe,nTe,nSb,nAs,nSn,nBi,nGa,nO,nP,nS,nF,nI,nSe,nN,nH,nCl,nBr,nCu,nV,nFe,nTi,nCr,nMn,nNi,nCo,nW,nMo,nTa,nNb,nZr,nSc,nRe,nIr,nAg,nTc,nY,nNa,nLi,nRb,nCs,nU,Average Voltage,V_level_overall,Capacity Grav,C_grav_level_overall,Capacity Vol,C_vol_level_overall,Specific E Wh/kg,specific_e_level_overall,E Density Wh/l,e_density_level_overall,Working_Ion_Number,Working_Ion
ZnV4(CuO4)3,Zn,1,,,,,0,0,0,0,12,7,0,0,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,3,4,,,,,,,,,,,,,,,,,,,,,,,0.66,Mid,82,Mid,443,Mid,54,Mid,294,Mid,1,Zn
ZnV3(P2O7)2,Zn,1,,,,,0,0,0,0,18,3,0,0,,,,,,,,,,,,,,,,,,,,,14,4,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,-0.31,Low,95,Mid,346,Mid,-30,Low,-109,Low,1,Zn
ZnV3(FeO6)2,Zn,1,,,,,0,0,0,0,0,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,,,,,,,,,,,,,,,,,,,,,,2.81,Mid,97,Mid,366,Mid,271,Mid,1028,Mid,1,Zn
ZnV2(PO4)3,Zn,1,,,,,0,0,0,0,15,2,0,0,,,,,,,,,,,,,,,,,,,,,12,3,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,2.01,Mid,166,Mid,627,Mid,334,Mid,1263,Mid,1,Zn
ZnV(SiO3)2,Zn,1,,,,,0,0,2,0,6,1,0,0,,,,,,,,,,,,,2,,,,,,,,6,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,0.44,Mid,200,Mid,760,Mid,89,Mid,337,Mid,1,Zn
ZnV(Si2O5)2,Zn,1,,,,,0,0,2,0,10,1,0,0,,,,,,,,,,,,,2,,,,,,,,10,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,0.57,Mid,138,Mid,439,Mid,79,Mid,252,Mid,1,Zn
ZnV(GeO3)2,Zn,1,,,,,0,0,2,0,6,1,0,0,,,,,,,,,,,,,,2,,,,,,,6,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,0.56,Mid,150,Mid,715,Mid,84,Mid,403,Mid,1,Zn
ZnV(GeO3)2,Zn,1,,,,,0,0,2,0,6,1,0,0,,,,,,,,,,,,,,2,,,,,,,6,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,0.57,Mid,150,Mid,723,Mid,85,Mid,410,Mid,1,Zn
ZnTiV(PO4)3,Zn,1,,,,,0,0,0,0,16,2,0,0,,,,,,,,,,,,,,,,,,,,,12,3,,,,1,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,1.03,Mid,119,Mid,396,Mid,123,Mid,409,Mid,1,Zn
ZnTiCr(PO4)3,Zn,1,,,,,0,0,0,0,16,2,0,0,,,,,,,,,,,,,,,,,,,,,12,3,,,,1,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,2.26,Mid,119,Mid,400,Mid,269,Mid,903,Mid,1,Zn
